TransactionID,CustomerID,TransactionDate,TransactionType,Amount,ProductCategory,ProductSubcategory,BranchCity,BranchLat,BranchLong,Channel,Currency,CreditCardFees,InsuranceFees,LatePaymentAmount,CustomerScore,MonthlyIncome,CustomerSegment,RecommendedOffer,Amount_EUR,CreditCardFees_EUR,InsuranceFees_EUR,LatePaymentAmount_EUR,MonthlyIncome_EUR
1,8270,2025-01-29,Card Payment,6980.185223290763,Checking Account,Gold,Seville,37.3891,-5.9845,Branch,EUR,0.0,0.0,0.0,839,5767.68,Middle Income Segment,Mid-tier Savings Booster,6980.19,0.0,0.0,0.0,5767.68
2,1860,2023-02-10,Deposit,10786.37185401874,Mortgage,Gold,Murcia,37.9847,-1.1287,Branch,EUR,0.0,0.0,0.0,683,2441.0,Low Income Segment,Financial Literacy Program Access,10786.37,0.0,0.0,0.0,2441.0
3,6390,2024-03-07,Transfer,3982.761110763336,Loan,Platinum,Malaga,36.7213,-4.4214,ATM,EUR,0.0,92.46,0.0,500,9957.08,High Income Segment,Premium Investment Services,3982.76,0.0,92.46,0.0,9957.08
4,6191,2023-07-04,Withdrawal,12408.6441357312,Mortgage,Standard,Seville,37.3891,-5.9845,ATM,EUR,0.0,0.0,0.0,392,1545.8,Low Income Segment,Financial Literacy Program Access,12408.64,0.0,0.0,0.0,1545.8
5,6734,2025-02-05,Fee,1868.260998018309,Checking Account,Platinum,Murcia,37.9847,-1.1287,Mobile,USD,0.0,0.0,0.0,368,5825.27,Middle Income Segment,Mid-tier Savings Booster,1610.57,0.0,0.0,0.0,5021.78
6,7265,2023-09-30,Card Payment,3165.15062990132,Savings Account,Platinum,Murcia,37.9847,-1.1287,Branch,EUR,0.0,0.0,0.0,793,6234.59,Middle Income Segment,Mid-tier Savings Booster,3165.15,0.0,0.0,0.0,6234.59
7,1466,2023-02-11,Fee,4771.08753934117,Savings Account,Student,Seville,37.3891,-5.9845,Mobile,EUR,0.0,0.0,0.0,441,6436.8,Middle Income Segment,Mid-tier Savings Booster,4771.09,0.0,0.0,0.0,6436.8
8,5426,2024-01-14,Deposit,4484.8557186646,Checking Account,Platinum,Murcia,37.9847,-1.1287,Branch,EUR,0.0,0.0,0.0,419,1576.34,Low Income Segment,Financial Literacy Program Access,4484.86,0.0,0.0,0.0,1576.34
9,6578,2023-07-15,Deposit,9929.003111058826,Loan,Gold,Murcia,37.9847,-1.1287,Online,EUR,0.0,42.66,0.0,687,5407.32,Middle Income Segment,Personal Loan Cashback Offer,9929.0,0.0,42.66,0.0,5407.32
10,9322,2024-02-14,Transfer,3669.693233206867,Savings Account,Business,Bilbao,43.263,-2.935,Branch,EUR,0.0,0.0,0.0,617,7940.49,High Income Segment,Premium Investment Services,3669.69,0.0,0.0,0.0,7940.49
11,2685,2023-01-04,Deposit,10750.80782115308,Loan,Student,Bilbao,43.263,-2.935,Branch,EUR,0.0,33.97,0.0,843,9910.87,High Income Segment,Premium Investment Services,10750.81,0.0,33.97,0.0,9910.87
12,1769,2023-11-23,Card Payment,9476.064540955227,Credit Card,Gold,Valencia,39.4699,-0.3763,ATM,EUR,40.0,0.0,0.0,383,6000.41,Middle Income Segment,Gold Card with Travel Benefits,9476.06,40.0,0.0,0.0,6000.41
13,7949,2023-10-24,Loan Payment,347.078478023202,Mortgage,Business,Malaga,36.7213,-4.4214,Online,EUR,0.0,0.0,26.89,484,5906.51,Middle Income Segment,Mid-tier Savings Booster,347.08,0.0,0.0,26.89,5906.51
14,3433,2023-03-03,Loan Payment,282.1119571119077,Credit Card,Business,Seville,37.3891,-5.9845,Mobile,EUR,23.5,0.0,142.66,662,3858.5,Middle Income Segment,Gold Card with Travel Benefits,282.11,23.5,0.0,142.66,3858.5
15,6311,2023-05-30,Deposit,2967.039719614751,Savings Account,Student,Bilbao,43.263,-2.935,Branch,EUR,0.0,0.0,0.0,730,1012.55,Low Income Segment,No-Fee Basic Account,2967.04,0.0,0.0,0.0,1012.55
16,6051,2023-04-20,Card Payment,4760.063919437015,Savings Account,Platinum,Valencia,39.4699,-0.3763,Mobile,USD,0.0,0.0,0.0,332,6165.08,Middle Income Segment,Mid-tier Savings Booster,4103.5,0.0,0.0,0.0,5314.72
17,7420,2024-10-08,Loan Payment,6036.819687154504,Loan,Student,Madrid,40.4168,-3.7038,Mobile,EUR,0.0,14.51,101.65,827,6732.4,Middle Income Segment,Personal Loan Cashback Offer,6036.82,0.0,14.51,101.65,6732.4
18,2184,2023-12-21,Fee,4189.673892441536,Savings Account,Student,Madrid,40.4168,-3.7038,Branch,EUR,0.0,0.0,0.0,383,8253.9,High Income Segment,Premium Investment Services,4189.67,0.0,0.0,0.0,8253.9
19,5555,2025-05-05,Card Payment,9537.538640696797,Loan,Student,Murcia,37.9847,-1.1287,Online,EUR,0.0,26.68,0.0,711,4055.12,Middle Income Segment,Personal Loan Cashback Offer,9537.54,0.0,26.68,0.0,4055.12
